2017112205河道断面计算Monitor_Time,Flow(m3/s),FlowVelocity(m/s),WaterLevel(m),WaterDepth(m),WaterWidth(m)
"监测时间：Lan7_2012-7-01_2012-8-01_NDWI_30m",12.6344,0.912528,3742.48,0.752932,44.5976
"监测时间：Lan7_2012-9-01_2012-10-01_NDWI_30m",0.507569,0.357524,3741.94,0.213464,35.6781
"监测时间：Lan7_2013-5-01_2013-6-01_NDWI_30m",16.1459,0.821933,3742.62,0.894086,49.0574
"监测时间：Lan7_2013-7-01_2013-8-01_NDWI_30m",9.25063,0.838893,3742.38,0.653460,26.7586
"监测时间：Lan7_2013-10-01_2013-11-01_NDWI_30m",0.425006,0.250799,3741.95,0.227655,40.1379
"监测时间：Lan7_2014-1-01_2014-2-01_NDWI_30m",17.2360,1.02757,3742.58,0.857006,28.9885
"监测时间：Lan7_2014-6-01_2014-7-01_NDWI_30m",9.25063,0.838893,3742.38,0.653460,26.7586
"监测时间：Lan7_2014-10-01_2014-11-01_NDWI_30m",5.39673,0.699089,3742.24,0.522165,24.5287
"监测时间：Lan7_2015-10-01_2015-11-01_NDWI_30m",17.2360,1.02757,3742.58,0.857006,28.9885
"监测时间：Lan7_2016-5-01_2016-6-01_NDWI_30m",22.3098,1.10592,3742.69,0.967909,31.2184
"监测时间：Lan7_2017-9-01_2017-10-01_NDWI_30m",0.492779,0.257526,3741.96,0.239709,42.3678
"监测时间：Lan7_2017-11-01_2017-12-01_NDWI_30m",13.0912,0.837413,3742.41,0.685587,55.7471
"监测时间：Lan7_2018-2-01_2018-3-01_NDWI_30m",23.3349,0.840011,3742.66,0.934406,80.2758
"监测时间：Lan7_2018-8-01_2018-9-01_NDWI_30m",0.937255,0.319044,3742.01,0.284560,46.8275
"监测时间：Lan7_2018-10-01_2018-11-01_NDWI_30m",0.492779,0.257526,3741.96,0.239709,42.3678
"监测时间：Lan7_2018-12-01_2019-1-01_NDWI_30m",7.30756,0.593827,3742.31,0.591583,71.3562
"监测时间：Lan7_2019-9-01_2019-10-01_NDWI_30m",12.6344,0.912528,3742.48,0.752932,44.5976
"监测时间：Lan7_2020-5-01_2020-6-01_NDWI_30m",12.6344,0.912528,3742.48,0.752932,44.5976
